// Compost colors for advanced_ae. You may add your own colors, change existing ones, or remove colors that aren't needed.
adv_pattern_encoder, #d4abf4
adv_pattern_provider_capacity_upgrade, #9665e3
adv_pattern_provider_upgrade, #c8a7d2
adv_processing_pattern, #edd3fe
printed_quantum_processor, #5c3c80
quantum_alloy, #905ac3
quantum_alloy_plate, #582d87
quantum_infused_dust, #a05b69
quantum_processor, #a0365f
quantum_processor_press, #dcdcdc
quantum_storage_component, #caaecf
shattered_singularity, #e3bbbb
throughput_monitor_configurator, #8c57c5
